season	episode	clip	text	label
S05	E16	329	apparently, teens are drinking the slushie stuff inside of these for the alcohol.	Inform
S06	E06	589	we are the manager.	Introduce
S06	E02	25	that is not true, marcus.	Oppose
S05	E16	219	eh, if i did, i'd have to change it on my debit card too.	Leave
S05	E19	506	yeah, he has, like, no respect for the permit.	Complain
S05	E10	325	how are things going over there?	Care
S05	E08	428	what is this you're sprinkling?	Care
S05	E12	358	it's the business that we were gonna start.	Introduce
S06	E07	601	you were a great roommate.	Praise
S04	E17	434	i actually just bought some stock in a drone company.	Inform
S05	E11	27	heather, you're in housewares.	Arrange
S05	E14	54	oh, okay. no worries.	Comfort
S05	E06	206	hey!	Greet
S04	E10	375	there's, like, eight of us, that's more of a walk.	Complain
S04	E08	105	hey, denise, these are friends of mine	Introduce
S05	E08	418	yes, of course!	Agree
S05	E08	149	hi, i'm amy sosa, store manager.	Introduce
S04	E03	388	how am i supposed to work checkout?	Complain
S06	E04	542	okay, all right, new rule: no one can be mad about whatever was said in this room, okay?	Inform
S05	E12	32	hey, guys, myrtle's nephew just came in	Inform
S04	E09	486	again, i'm sorry about the typo.	Apologise
S05	E08	537	yeah.	Agree
S05	E21	201	oh, we could get, like, a red bull fountain.	Advise
S04	E16	494	sandra, code cottontail.	Inform
S04	E13	472	you were the one who said he should be telling her.	Criticize
S05	E08	337	mateo, give him the gift card.	Arrange
S04	E03	84	this one smells like peanut butter.	Introduce
S05	E16	27	also there's a product locator, an inventory map	Inform
S05	E15	258	kira moon from zephra will be  surprising  us	Inform
S06	E05	74	yeah, you know, this is actually exactly	Agree
S05	E06	229	thank you.	Thank
S05	E17	95	oh, hey, glenn.	Greet
S05	E08	489	glenn, take this down. sandra, keep going.	Arrange
S05	E11	487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	Complain
S05	E07	189	anyone who ripped up their workbook has failed.	Inform
S04	E07	301	why didn't you just shout,  hey glenn	Complain
S05	E11	149	never forget how fun you are, jonah.	Taunt
S05	E13	15	um, and jonah and justine, you get to help out tomorrow when the rest of the shipment comes in.	Arrange
S05	E21	16	you're smart, hardworking	Praise
S05	E13	80	that's crazy. you can't do that.	Prevent
S04	E04	57	i'm doing very well.	Flaunt
S05	E07	34	great, thanks. also, did you know	Thank
S04	E09	398	and such a massive waste of time	Complain
S05	E07	603	so maybe marcus could join us?	Advise
S05	E08	126	you can donate to our toy drive.	Advise
S05	E18	328	and you've taken him to a doctor, and he's doing fine?	Care
S05	E10	491	sure, thanks.	Thank
S05	E11	256	but i could really use the help.	Ask for help
S05	E11	93	garrett, do you mind if i use your phone?	Ask for help
S04	E16	287	he's been spotted in the vicinity.	Inform
S06	E02	503	how's the search going?	Care
S05	E16	358	why don't you buy the dryer balls?	Advise
S05	E06	287	elias did a great job with the crepe paper, though.	Praise
S05	E09	182	don't worry about it.	Comfort
S04	E03	387	these customers are so handsome.	Praise
S05	E08	100	no, things are good.	Comfort
S05	E17	555	bye, jonah.	Leave
S04	E06	155	i've never been so tired.	Complain
S05	E08	17	hi, i'm mateo liwanag	Introduce
S06	E09	229	it's actually super distracting.	Complain
S05	E06	386	amazing. thank you, dina.	Thank
S05	E20	236	turn all the screens in electronics to mtv.	Arrange
S05	E13	216	okay, buddy, you're being weird.	Taunt
S05	E07	556	turt-turt, we're out of here.	Leave
S06	E06	26	no, it's that we no longer have to sanitize	Inform
S05	E09	440	yeah, yeah, you're good. you got this.	Praise
S06	E03	372	we can't trust him about anything.	Complain
S05	E09	428	i'm just checking to see if he and mateo are hitting it off.	Care
S04	E03	256	thank you for bringing that to my attention.	Thank
S06	E05	215	cool, let's all give credit to jonah for janet's idea.	Praise
S05	E14	493	i'm sorry.	Apologise
S05	E18	27	oh, my god, he's so cute. my ovaries are exploding.	Praise
S04	E08	91	the point is, sayid, you're home now.	Inform
S04	E12	459	'cause he eats a lot of sugar, so he'd be the sweetest.	Joke
S04	E17	151	we can see that, big guy. just get out of the way.	Prevent
S06	E01	210	so, employees must wipe down the register and credit card machine after each customer	Inform
S05	E19	341	hey, tommy, some guy with no pants just joined the protest.	Inform
S05	E07	291	why, so you can steal a quart of our pink soap?	Criticize
S05	E11	449	yeah, it feels kinda good.	Praise
S06	E10	420	because the ducklings were having a tea party	Introduce
S06	E01	260	oh, great, more reasons for the wet-lips to yell at me.	Taunt
S05	E20	274	go ahead. don't worry, i've--i've--	Comfort
S05	E06	16	uh, actually, i got tired of explaining	Complain
S04	E11	508	what, so they can slap the other cheek?	Taunt
S06	E07	328	kelly came over from fenton to cover a shift.	Inform
S04	E12	380	because he thinks he's better than everyone else here.	Taunt
S05	E07	264	i have zero control over my employees.	Complain
S04	E07	112	why would we even do it? what're we doing it for?	Complain
S04	E01	211	and for women, it's that i got taken advantage of?	Complain
S06	E05	536	our corona tests came back negative.	Introduce
S05	E10	406	and after all of that, we still can't afford rent	Complain
S04	E06	75	my name's kimmer with a k.	Introduce
S05	E08	217	you could tell 'em your story.	Advise
S05	E08	502	sorry, i should really get going.	Leave
S05	E06	12	you two are gonna be managing	Arrange
S05	E14	207	there is still a lot that needs to get done, and it is crunch time.	Inform
S06	E02	252	it wasn't- it wasn't that.	Oppose
S06	E07	455	and it's the best thing that's ever happened to me.	Flaunt
S04	E06	365	that's an interesting choice.	Praise
S04	E14	273	excuse me, folks, can everyone gather up?	Inform
S05	E20	265	glenn, you smell scared. what's up?	Care
S05	E16	477	dina, i am sorry that i said nobody likes you.	Apologise
S06	E01	87	but for now, they want everybody to know that,  we value our employees' dedication.	Inform
S04	E13	406	thank you.	Thank
S05	E09	522	test the shelves, make sure they, um	Arrange
S05	E08	525	jonah, why are you filming this?	Criticize
S05	E14	161	hey, dina. everything okay?	Care
S05	E07	297	yep.	Agree
S05	E06	94	you could eat yourself to death and no one would care.	Joke
S05	E14	261	here, take my card. there's a link to the web--	Introduce
S05	E16	212	maybe you should just mute her.	Advise
S05	E02	65	look, i know you like to be everyone's but that's not how i live my life.	Oppose
S04	E17	350	it's a traditional honduran food.	Introduce
S06	E01	21	so i'm still gonna be working with you guys.	Inform
S04	E06	441	i am dealing with a lot today.	Complain
S04	E13	300	can't you just cover it up?	Advise
S05	E11	505	oh, that's so sweet.	Praise
S04	E05	491	yeah. thank you.	Thank
S05	E10	327	she's out of commission for the rest of the day	Inform
S05	E12	327	thanks.	Thank
S05	E21	89	you have to have a party.	Advise
S05	E15	94	classy move, zephra.	Praise
S06	E01	438	this man is harassing me	Criticize
S06	E03	498	for instance, i think we should stagger our shift start times	Advise
S06	E03	67	i mean, dusty mint stinks.	Complain
S05	E16	538	sorry, that sounded really callous.	Apologise
S05	E17	554	sandra, could you bring home some magazines?	Ask for help
S06	E09	597	nice job.	Praise
S05	E11	503	what's wrong with your head?	Care
S05	E13	26	we haven't even gotten a chance to talk yet.	Complain
S05	E21	518	what's going on here?	Care
S05	E11	382	what if we call it  the octagon.	Advise
S06	E01	495	amy might have abandoned us a little, but we're fine!	Comfort
S05	E10	161	need any help with whatever this is?	Care
S04	E14	440	blaine is sexy, but he is not a good manager.	Criticize
S05	E13	369	well, i am gonna show her just how many items	Inform
S05	E21	98	sorry.	Apologise
S04	E08	358	that guy's always making up stuff about people.	Criticize
S06	E10	454	i have been nervously holding my pee for six hours	Complain
S06	E01	32	whoa! the nba just announced they're suspending the season.	Inform
S04	E16	366	also, what's with the weirdly intimate stares?	Complain
S05	E14	446	damn it, dina. you had one job.	Complain
S05	E07	153	attention employees. uh, listen up.	Inform
S06	E01	412	hey, amy, i dropped my mask...	Inform
S06	E02	320	well, i'm sure you'll figure something out.	Comfort
S05	E08	246	yeah, just traveling the world shirtless.	Joke
S04	E04	168	hey man, why did you have to point out this stupid halloween song?	Complain
S06	E08	118	why did this happen? am i a bad person?	Complain
S05	E17	542	hey, jerry.	Greet
S04	E11	166	no, no, no, no, no. don't help him.	Prevent
S05	E07	24	hey, guys, sorry to give you a scare there.	Apologise
S04	E04	333	my jewish bird joke is so good	Flaunt
S06	E02	113	thanks!	Thank
S04	E12	337	game of thrones  season one	Introduce
S05	E07	345	okay.	Agree
S05	E21	305	how about everybody's got roller skates	Advise
S05	E21	481	hey.	Greet
S05	E11	188	that's--that's a good thing.	Praise
S05	E14	200	you go. get ready.	Arrange
S05	E11	399	perhaps going forward,we could all focus on--on the issues that we have here at--at work.	Advise
S05	E13	530	oh, thank you.	Thank
S04	E14	411	hey, so i guess we're just out of green beans.	Inform
S06	E04	568	it's gonna be all about the moon before you know it.	Inform
S06	E03	220	so we're gonna let the people decide.	Inform
S05	E19	283	i'll get right on it. sorry, boss.	Leave
S06	E05	127	anyway, the point is i'm just so sorry.	Apologise
S06	E03	462	oh, and you're not allowed to shop here anymore.	Inform
S04	E04	85	i'll reach out to the manufacturer.	Inform
S05	E11	440	thank you.	Thank
S05	E10	44	while i waste my talents in the vision center.	Complain
S06	E08	475	then why were you yelling at him when it happened?	Criticize
S04	E04	220	this same song keeps playing over and over again, and it's starting to drive me crazy.	Complain
S05	E16	571	um, i'm gonna go make a call	Leave
S04	E16	261	you have got to stop watching this.	Prevent
S05	E08	7	i am in the middle of something, dummy.	Criticize
S05	E13	25	the time difference with ghana is so tricky.	Complain
S05	E14	48	and my liver is on high alert.	Inform
S05	E11	120	you just need to go up to her and go	Advise
S04	E05	77	i'm dr. sidian, i'm the attending on the floor.	Introduce
S05	E11	266	look, sandra, i think maybe she needs to hear it from you.	Advise
S05	E21	312	yo, don't write that down.	Prevent
S05	E09	259	and apologize to customers when these two can't hack it.	Arrange
S04	E10	171	but don't let it wear you out.	Inform
S04	E08	92	and on behalf of everyone in america, we welcome you.	Inform
S05	E08	61	this week, enjoy 20% off	Inform
S05	E14	522	everything okay?	Care
S06	E09	6	i'm sorry, guys.	Apologise
S05	E15	454	i think ellen degeneres dances too much!	Complain
S04	E13	262	oh, listen, you--you do not have to worry about that, okay?	Comfort
S04	E16	528	and i think it's pretty messed up	Complain
S04	E04	397	okay then, contest back on.	Inform
S05	E14	337	jonah, what are you doing?	Care
S05	E15	3	zephra has sent us a little break room upgrade	Inform
S05	E14	380	but you're going to be fine.	Comfort
S05	E13	388	who cares? who cares? don't worry about it.	Comfort
S05	E15	455	it's unprofessional!	Complain
S05	E12	181	and i just wanted to tell you that dina... passed away.	Inform
S05	E17	391	oh, that is awesome.	Praise
S05	E13	89	um, it's the display for the new zephra products.	Introduce
S04	E01	480	all right, guys, well, this is your last chance	Inform
S05	E08	520	well, technically, you can suck it!	Criticize
S04	E16	52	happy easter.	Inform
S05	E15	197	why is everybody being so cynical about this?	Complain
S05	E10	458	oh, that does sound nice.	Praise
S05	E15	289	that's embarrassing.	Complain
S05	E16	525	you would know if you didn't make me skip to the end of the story!	Criticize
S05	E12	217	it's best to just pretend you've passed out, okay?	Advise
S04	E08	137	okay, here are your lanyards and your room keys.	Inform
S06	E01	246	the ink's starting to turn our butts weird colors.	Complain
S05	E18	83	mm-hmm, and his proportions are a dream.	Praise
S05	E15	453	i think i voted wrong!	Complain
S06	E04	486	so i say turn every golf course into a solar farm.	Advise
S04	E03	13	sorry for accidentally texting you that nude.	Apologise
S05	E17	526	our people are struggling, amy.	Complain
S05	E07	384	i'm just a dumb, useless butt.	Complain
S05	E11	378	why don't we set some ground rules	Advise
S05	E08	32	yeah, i think so.	Agree
S05	E08	122	excuse me, where do you keep your transformers?	Ask for help
S06	E04	64	you're taking a trip to bruise town.	Arrange
S05	E11	3	zephra is just our new parent company.	Inform
S05	E13	79	okay, no, no. mateo, no.	Prevent
S04	E07	368	see? this is easy for me.	Flaunt
S05	E08	148	yep, they gotta go.	Leave
S05	E10	73	you doing okay with all this?	Care
S05	E15	74	he's a scam artist.	Inform
S05	E13	480	this whole interview process was a fake.	Complain
S04	E02	302	all right, well, i'll see y'all later.	Leave
S05	E12	294	i just hope that you don't go around	Advise
S05	E15	132	fine!	Agree
S05	E07	426	for a very special parade.	Inform
S04	E04	53	my feet are so swollen i can barely stand.	Complain
S05	E09	252	i haven't even been able to go on instagram.	Complain
S05	E13	166	i just found out that, um, i got a work permit.	Inform
S04	E07	429	you are grossly incompetent and unpleasant to be around	Criticize
S06	E05	12	effective immediately, cloud 9 will no longer keep black haircare products in locked cases.	Inform
S06	E03	613	and i do have an update on the breadsticks.	Inform
S06	E09	354	but you haven't because you're afraid	Taunt
S05	E16	248	i'm so fricking cold.	Complain
S06	E03	597	did you get hurt before?	Care
S05	E12	128	this is a pyramid scheme.	Complain
S05	E12	452	hey, dina, your dad's looking for you.	Inform
S06	E08	486	do you want us to give you a trophy?	Taunt
S06	E06	44	anyway, dina, don't worry about it.	Comfort
S04	E06	460	i am wearing frozen diapers	Complain
S05	E09	290	hey, sweetie. hey, garrett.	Greet
S05	E08	229	you stole my mark?	Criticize
S05	E21	110	oh, i don't think it's that.	Oppose
S05	E08	239	molly, hand these out, please.	Arrange
S06	E02	250	okay, cool, 'cause you seemed uncomfortable	Care
S05	E17	574	you should go find justine.	Advise
S04	E03	164	on behalf of store 1217, it is my privilege	Flaunt
S04	E09	139	god, you're a fast learner.	Praise
S05	E18	298	your faces look like butts.	Taunt
S04	E05	179	i--i like it here. that other hospital was snobby.	Complain
S04	E02	406	how about we keep this party train rolling	Advise
S05	E17	468	you're gorgeous really, for your cohort.	Praise
S05	E20	489	the margs are here.	Inform
S06	E02	291	i will see you, uh, in a little bit.	Leave
S05	E07	96	yeah, that sounds fun. i'm in.	Agree
S04	E11	450	i got clipped by a kia on the highway, amy!	Complain
S04	E03	239	you shoved me, amy! what is wrong with you?	Criticize
S05	E08	322	you win it in a raffle or something?	Taunt
S05	E16	352	hello?	Greet
S06	E04	68	can you please switch me anywhere?	Ask for help
S05	E15	41	yes!	Agree
S04	E17	284	thank you for those kind words, jonah.	Thank
S04	E03	119	oh! absolutely. without a doubt.	Agree
S06	E02	509	feels pretty bad.	Complain
S04	E16	8	spring frozen yogurt flavors, check.	Inform
S06	E05	515	oh, wow. yeah--thanks.	Thank
S04	E11	312	but i logged 8,000 steps.	Flaunt
S04	E06	37	i'm just exhausted and sore and hormonal	Complain
S05	E14	248	oh, thanks.	Thank
S06	E09	15	now, we've noticed some of your masks are getting dingy.	Inform
S06	E08	3	that this is made out of polyvinyl chloride	Introduce
S05	E02	112	i even went out and bought a camera phone.	Flaunt
S04	E04	73	i'm 'gerry mander'.these are all gerrymander.	Introduce
S05	E12	86	hey, glenn, how you holding up?	Care
S05	E17	464	i was definitely not flirting.	Oppose
S04	E03	401	i'm carol, i'm a jealous psycho stalker who can't take	Taunt
S05	E14	103	okay, i'm going to hit the little cowboys' room.	Leave
S05	E15	410	but don't worry, i have a solution.	Comfort
S05	E11	330	give them a voice, you know?	Advise
S04	E12	160	okay, we have no idea how long we're gonna be stuck here, so we need to ration our food.	Inform
S06	E04	400	what, so because i'm manager, i have to help people poop their emotions all over the place?	Complain
S05	E10	512	because corporate sucks and everybody always sucks.	Complain
S05	E07	134	good.	Praise
S06	E01	200	okay, um, some good news.	Inform
S06	E03	555	so starting tomorrow, you will do what i tell you to do	Arrange
S04	E14	148	glenn, it's--it's going to be okay.	Comfort
S04	E13	305	you've never been sarcastic with me before.	Criticize
S04	E01	77	these are all excellent ideas, thank you.	Praise
S04	E02	109	you could always return this one for a safer car seat.	Advise
S05	E20	88	filled up on bread  is gonna go on her gravestone.	Joke
S05	E09	273	what i need from the two of you is less of this	Taunt
S05	E21	240	really fresh perspective.	Praise
S05	E08	150	hi.	Greet
S05	E07	118	that will fit jerry's big ol' melon.	Joke
S05	E06	418	amy, you need to go change into leather sandy right now.	Arrange
S05	E07	550	hey, you guys. i'm sorry, bo.	Apologise
S05	E19	124	well, why don't you just hire somebody on busybee?	Advise
S04	E16	300	they're gross.	Complain
S05	E14	467	carol, you can't do that!	Prevent
S05	E13	377	sandra, block her with your body!	Arrange
S05	E07	267	you just need to find a way to show maya that you mean business.	Advise
S04	E03	169	yes. it's one of cloud 9's highest honors.	Inform
S05	E06	138	look, it's... it's almost done. you don't have to worry.	Comfort
S05	E16	333	we're a little delayed because amy was busy mean-girling me.	Criticize
S04	E08	534	so, i ran your social security.	Inform
S04	E01	433	what a stupid waste of a first question.	Complain
S05	E19	161	sayid doesn't want to work in housewares.	Inform
S06	E02	297	yeah--oh, hey, i apologize for jonah's murder joke.	Apologise
S04	E02	202	you're a good friend.	Praise
S04	E14	6	i am stepping down to spend more time with my family.	Inform
S06	E04	66	dina, you have justine and me at the same register	Inform
S06	E06	361	fine.	Agree
S05	E06	15	on whatever dumb metaphor his costume's supposed to be.	Taunt
S04	E09	278	we don't have room for that.	Complain
S06	E02	231	she seems...really nice.	Praise
S05	E17	431	how is stealing packages from poor people	Criticize
S04	E04	322	i was legitimately offended.	Complain
S05	E15	36	wait, wait.	Prevent
S05	E07	333	green beans are now the normal price.	Inform
S05	E10	164	ooh, amy, how's union stuff going?	Care
S06	E04	547	but i've never seen anyone worse at this job.	Praise
S05	E20	538	all right, garrett, give everyone their money back, and then all of you get back to work.	Arrange
S05	E16	222	hey, man.	Greet
S04	E07	135	this is who we're visiting.	Introduce
S04	E06	39	and i'm wearing pajamas, and i'm just a mess.	Complain
S05	E21	459	hey, mateo, can i ask you something	Ask for help
S05	E13	287	you know what? i'm tired of everybody thinking of me as just your boyfriend, okay? even garrett sees me like that.	Complain
S06	E01	114	just pick a conditioner and keep moving.	Arrange
S04	E02	247	hey.	Greet
S04	E10	168	yeah, no, i'm sorry.	Apologise
S05	E15	464	i'm going to the chesterfield store	Leave
S05	E17	347	your total is $26.17.	Inform
S06	E06	550	take a breath, man. you're not getting fired.	Comfort
S05	E18	423	stop saying that. all moms are full-time moms.	Prevent
S05	E20	77	i'm sorry for the jargon, jonah.	Apologise
S05	E12	51	it's the way of the world. the rich get richer.	Complain
S05	E13	529	so your new desk is gonna be here in three days.	Inform
S05	E10	24	relax. i honestly think this is all gonna work out.	Comfort
S05	E15	25	okay, mateo, on three. ready?	Arrange
S05	E15	306	the zephra corporate guidelines and look up what it says	Advise
S05	E10	464	it's a great color.	Praise
S05	E16	291	we have to put out red label warnings.	Inform
S05	E09	198	he seems super cool.	Praise
S04	E01	493	dina! it went great!	Praise
S04	E07	394	yes, thank you for all the help.	Thank
S06	E07	569	dina assigned me to hang out with you today	Inform
S04	E16	389	me amy. me prep for 5k.	Joke
S05	E13	53	so you're gonna have to find someone yourself to cover.	Advise
S04	E17	403	okay, okay, it's--it's--it's gonna be okay.	Comfort
S05	E10	386	it's not your fault that you don't get the ins and outs	Comfort
S05	E16	575	well, i'm gonna go do something else then.	Leave
S04	E08	114	relax, they vet these guys for years.	Comfort
S05	E16	102	you should really change that back, dina.	Advise
S05	E07	526	don't worry. i'm not gonna squirt anyone.	Comfort
S05	E16	293	dina, you can't just text me something like that.	Criticize
S05	E13	498	okay, well, how about weekends off?	Advise
S04	E08	506	and they get paid ten times as much as us.	Complain
S06	E02	478	well, it's still very cool.	Praise
S05	E09	287	you should meet him.	Advise
S04	E10	467	there's a blank spot where you can write in your name.	Inform
S05	E09	235	i don't consent to this conversation.	Oppose
S04	E02	187	oh, i don't see how that could possibly be true.	Complain
S05	E15	409	well, sounds like you got a lot going on	Care
S05	E07	262	it doesn't even matter.	Complain
S05	E10	223	or do your customers also prefer cashiers with tendinitis?	Taunt
S05	E17	314	why don't you read the note?	Advise
S06	E03	606	oh, i'm sorry.	Apologise
S05	E14	117	but then we just did a bunch of whip-its in the dj's van, and it was great.	Praise
S05	E09	378	yeah, i'm sorry, but there's no order here.	Apologise
S05	E18	96	the prizes are in the cereal!	Inform
S05	E10	216	yeah, thanks. i'm--i'm just browsing today.	Thank
S06	E10	525	don't feel guilty.	Comfort
S04	E01	500	and so i delegated, and i problem-solved	Flaunt
S04	E07	69	wait, what are you doing? don't--don't put it back.	Prevent
S06	E08	62	sure you're gonna be okay?	Care
S05	E07	342	it's got a secret ingredient.	Introduce
S05	E20	283	i left all my felt tips uncapped in the security office,and those are just gonna be drying out like crazy,so i just need to go.	Leave
S04	E10	464	all right, everybody, you did it	Inform
S05	E08	555	you look way too happy.	Taunt
S04	E06	304	okay, i'm sorry. proceed.	Apologise
S06	E09	580	thank you.	Thank
S05	E17	219	yeah, actually, it would be really helpful	Praise
S04	E13	201	it's called  you can do it.	Introduce
S04	E05	269	oh, it's so clean and comfortable.	Praise
S04	E16	467	you're the ones who have been sitting in here, talking about me behind my back.	Criticize
S04	E02	535	oh, finally. come get me down.	Ask for help
S05	E21	424	that's great.	Praise
S06	E06	212	i'm so sorry, sandra.	Apologise
S04	E10	6	uh, i'm amy sosa.	Introduce
S05	E10	92	thank you.	Thank
S05	E16	456	whoa, calm down.	Comfort
S05	E19	224	oh, my god. don't touch it.	Prevent
S05	E14	289	this place has line dancing at 10:00	Inform
S05	E08	562	um, well, i like when jerry cooks me my favorite meal.	Praise
S05	E02	24	absolutely not.	Oppose
S04	E10	31	we should--we'll just go.	Leave
S05	E10	123	don't worry.	Comfort
S05	E06	406	security office, now!	Inform
S05	E16	53	i just don't love handing giant corporations a way to get my address, my contacts, and all of my passwords.	Complain
S04	E16	521	see you at glenn's show.	Leave
S04	E07	201	oh, come on. give me some credit.	Complain
S05	E09	588	how's curbside going?	Care
S06	E02	36	okay, we're gonna be in this meeting forever	Inform
S05	E15	535	you lied about mental distress?	Criticize
S06	E10	509	okay. they left the break room.	Inform
S06	E10	4	now, cloud 9's lawyer will also be present.	Inform
S05	E08	321	how did you become manager?	Taunt
S05	E02	25	engagement party is not a maid of honor duty.	Oppose
S05	E13	320	sandra, no. you leave it up.	Arrange
S04	E16	180	but instead, he mocks me behind my back.	Complain
S06	E04	604	how do you feel, justine?	Care
S05	E10	3	here, to remind you.	Inform
S04	E08	272	anyway, i'm definitely the legal kind.	Flaunt
S05	E14	61	no, no, take your time.	Comfort
S04	E12	367	can you stop doing that?	Prevent
S05	E07	545	so how'd it go?	Care
S05	E17	221	yeah, sure.	Agree
S05	E20	386	listen, i'm-i'm really sorry.	Apologise
S04	E13	481	well, too bad!	Complain
S06	E06	45	they're towing it right now.	Inform
S06	E04	590	i'm sorry.	Apologise
S04	E08	463	i might have to go to the men's room first.	Leave
S05	E18	257	yes, like a parlor.	Agree
S05	E16	494	again, we are so, so sorry.	Apologise
S04	E06	390	unfortunately, the last spot has been filled.	Inform
S05	E18	37	okay, cheyenne, sandra, you're serving	Arrange
S05	E10	14	walk away so they know you're serious.	Advise
S05	E07	381	means you're fired.	Inform
S05	E08	250	you need to move on.	Advise
S05	E18	189	lifesaver.	Thank
S06	E05	280	oh, whoa! no, no, no! don't actually scoot in.	Prevent
S05	E17	444	why don't we just give them some cash?	Advise
S05	E11	367	it has recently come to my attention that there are some men in the store who have some issues	Inform
S05	E15	585	hey, thanks for taking a chance on me.	Thank
S06	E08	236	feels like i'm buying a gremlin.	Joke
S04	E06	236	why don't you use the lactation room?	Advise
S05	E20	93	glenn, this is dr. brian patterson, veterinarian and boyfriend.	Introduce
